id,mask_rle
TEST_0006_class_11,147 51 571 390 1107 51 1531 390 2071 43 2491 390 3031 43 3451 390 3991 43 4411 390 4964 30 5367 394 5924 30 6327 394 7287 394 8247 394 9207 394 10162 352 10531 30 11122 352 11491 30 12074 360 12455 26 13034 360 13415 26 13985 365 14380 17 14945 365 15340 17 15905 365 16300 17 16861 369 17821 369 18772 378 19732 378 20692 378 21644 386 22604 386 23560 390 24520 390 25480 390 26435 395 27395 395 28355 356 28715 35 29315 356 29675 35 30275 352 30640 12 31235 352 31600 12 32195 352 32560 12 33155 352 34115 352 35080 342 36040 342 37000 342 37960 342 38920 342 39880 334 40840 334 41800 321 42760 321 43720 321 44684 308 45644 308 46604 8 46625 275 47564 8 47585 275 48524 8 48545 275 49510 265 50470 265 51430 188 51635 56 52390 188 52595 56 53350 180 53564 38 54310 180 54524 38 55270 180 55484 38 56230 171 56452 22 57190 171 57412 22 58162 155 59122 155 60082 155 61051 137 62011 137 63035 69 63995 69 64955 69 65924 4 66884 4
TEST_0007_class_0,1 518400
TEST_0007_class_1,-1
TEST_0007_class_2,-1
TEST_0007_class_3,-1
TEST_0007_class_4,-1
TEST_0007_class_5,-1
TEST_0007_class_6,-1
TEST_0007_class_7,-1
TEST_0007_class_8,-1
TEST_0007_class_9,-1
TEST_0007_class_10,-1
TEST_0007_class_11,-1
TEST_0008_class_0,79205 17 80165 17 80641 4 81104 51 81601 4 82064 51 82561 4 83024 51 83521 21 83954 86 84481 21 84914 86 85441 30 85865 107 86401 30 86825 107 87361 30 87785 107 88321 39 88732 146 89281 39 89692 146 90241 43 90601 17 90631 219 91201 43 91561 17 91591 219 92161 47 92495 287 93121 47 93455 287 94081 47 94415 287 95041 56 95350 4 95358 313 96001 56 96310 4 96318 313 96961 73 97257 343 97921 73 98217 343 98881 73 99177 343 99841 77 100128 364 100780 4 100801 77 101088 364 101740 4 101761 81 102044 386 102695 13 102721 81 103004 386 103655 13 103681 86 103955 403 104530 8 104611 17 104641 86 104915 403 105490 8 105571 17 105601 86 105875 403 106450 8 106531 17 106561 90 106827 415 107405 17 107487 25 107521 90 107787 415 108365 17 108447 25 108481 99 108738 442 109321 30 109398 34 109441 99 109698 442 110281 30 110358 34 110401 99 110658 442 111241 30 111318 34 111361 107 111605 472 112150 25 112192 125 112321 107 112565 472 113110 25 113152 125 113281 116 113517 488 114035 202 114241 116 114477 488 114995 202 115201 116 115437 488 115955 202 116161 124 116384 861 117344 878 118291 891 119251 900 120190 921 121150 921 122110 396291
TEST_0008_class_1,-1
TEST_0008_class_2,-1
TEST_0008_class_3,-1
TEST_0008_class_4,-1
TEST_0008_class_5,-1
TEST_0008_class_6,-1
TEST_0008_class_7,-1
TEST_0008_class_8,30211 9 30254 38 31171 9 31214 38 32131 9 32174 38 33082 99 34042 99 34998 107 35958 107 36918 107 37874 120 38834 120 39785 125 40745 125 41701 129 42661 129 43621 129 44577 128 45537 128 46492 133 47452 133 48412 133 49368 133 50328 133 51284 133 52244 133 53200 128 54160 128 55120 128 56080 124 57040 124 57995 129 58955 129 59915 129 60880 124 61840 124 62800 124 63760 124 64720 124 65680 120 66640 120 67600 120 68560 120 69511 129 70471 129 71431 129 72378 22 72404 116 73338 22 73364 116 74294 26 74328 112 75254 26 75288 112 76214 26 76248 112 77174 26 77212 108 78134 26 78172 108 79094 21 79137 68 79222 9 80054 21 80097 68 80182 9 80971 13 81014 21 81065 30 81931 13 81974 21 82025 30 82891 13 82934 21 82985 30 83842 35 83898 13 83950 4 84802 35 84858 13 84910 4 85754 47 85814 21 86714 47 86774 21 87674 47 87734 21 88634 51 88690 30 89594 51 89650 30 90554 47 90618 13 91514 47 91578 13 92470 25 93430 25 94390 25 95354 4 96314 4
TEST_0008_class_9,-1
TEST_0008_class_10,-1
TEST_0008_class_11,1 30210 30220 34 30292 879 31180 34 31252 879 32140 34 32212 870 33181 861 34141 857 35105 853 36065 853 37025 849 37994 840 38954 831 39910 835 40870 831 41830 831 42790 831 43750 827 44705 832 45665 827 46625 827 47585 827 48545 823 49501 827 50461 823 51417 827 52377 823 53328 832 54288 832 55248 832 56204 836 57164 831 58124 831 59084 831 60044 836 61004 836 61964 836 62924 836 63884 836 64844 836 65800 840 66760 840 67720 840 68680 831 69640 831 70600 831 71560 818 72400 4 72520 818 73360 4 73480 814 74320 8 74440 814 75280 8 75400 814 76240 8 76360 814 77200 12 77320 814 78160 12 78280 814 79115 22 79231 823 80075 22 80191 450 80645 326 80984 30 81035 30 81095 9 81155 446 81605 326 81944 30 81995 30 82055 9 82115 446 82565 326 82904 30 82955 30 83015 9 83075 446 83542 300 83877 21 83911 39 84040 441 84502 300 84837 21 84871 39 85000 441 85471 283 85801 13 85835 30 85972 429 86431 283 86761 13 86795 30 86932 429 87391 283 87721 13 87755 30 87892 429 88360 274 88685 5 88720 12 88878 403 89320 274 89645 5 89680 12 89838 403 90284 270 90850 351 91244 270 91810 351 92208 262 92782 339 93168 262 93742 339 94128 262 94702 339 95097 253 95671 330 96057 253 96631 330 97034 223 97600 321 97994 223 98560 321 98954 223 99520 321 99918 210 100492 288 100784 17 100878 210 101452 288 101744 17 101842 202 102430 265 102708 13 102802 202 103390 265 103668 13 103767 188 104358 172 104538 73 104628 13 104727 188 105318 172 105498 73 105588 13 105687 188 106278 172 106458 73 106548 13 106651 176 107242 163 107422 65 107512 9 107611 176 108202 163 108382 65 108472 9 108580 158 109180 141 109351 47 109432 9 109540 158 110140 141 110311 47 110392 9 110500 158 111100 141 111271 47 111352 9 111468 137 112077 73 112175 17 112317 4 112428 137 113037 73 113135 17 113277 4 113397 120 114005 30 114237 4 114357 120 114965 30 115197 4 115317 120 115925 30 116157 4 116285 99 117245 99 118222 69 119182 69 120151 39 121111 39 122071 39
TEST_0009_class_0,1 806 901 866 1861 866 2817 870 3777 870 4737 638 5380 227 5697 638 6340 227 6657 634 7300 227 7617 634 8260 227 8577 634 9220 227 9537 630 10184 227 10492 635 11144 227 11452 643 12100 227 12387 668 13060 227 13347 891 14294 904 15254 904 16214 900 17170 904 18130 900 19085 905 20045 905 21005 497396
TEST_0009_class_1,-1
TEST_0009_class_2,-1
TEST_0009_class_3,-1
TEST_0009_class_4,-1
TEST_0009_class_5,-1
TEST_0009_class_6,-1
TEST_0009_class_7,-1
TEST_0009_class_8,-1
TEST_0009_class_9,-1
TEST_0009_class_10,-1
TEST_0009_class_11,807 60 897 4 1767 60 1857 4 2727 64 2812 5 3687 64 3772 5 4647 64 4732 5 5375 5 5607 90 6335 5 6567 90 7291 9 7527 90 8251 9 8487 90 9211 9 9447 90 10167 17 10411 81 11127 17 11371 81 12095 5 12327 60 13055 5 13287 60 14238 56 15198 56 16158 56 17114 56 18074 56 19030 55 19990 55 20950 55
TEST_0010_class_0,164 274 678 283 1124 274 1638 283 2084 274 2598 283 3044 274 3558 283 4004 274 4518 283 4960 282 5474 287 5920 282 6434 287 6880 282 7394 287 7840 282 8354 287 8800 282 9314 287 9755 292 10274 287 10715 292 11234 287 11675 292 12190 291 12635 292 13150 291 13591 300 14110 291 14551 300 15070 291 15511 300 16030 291 16462 313 16990 291 17422 313 17950 291 18378 326 18905 296 19338 326 19865 296 20298 326 20825 296 21258 352 21781 300 22218 352 22741 300 23178 369 23692 309 24138 369 24652 309 25098 369 25612 309 26054 386 26568 313 27014 386 27528 313 27974 398 28484 317 28934 398 29444 317 29890 411 30395 326 30850 411 31355 326 31810 411 32315 326 32765 420 33267 334 33725 420 34227 334 34681 429 35174 347 35641 429 36134 347 36601 429 37094 347 37552 442 38037 364 38512 442 38997 364 39455 476 39940 381 40415 476 40900 381 41367 874 42327 874 43287 878 44238 887 45198 900 46128 930 47088 930 48048 470353
TEST_0010_class_1,-1
TEST_0010_class_2,-1
TEST_0010_class_3,-1
TEST_0010_class_4,-1
TEST_0010_class_5,-1
TEST_0010_class_6,-1
TEST_0010_class_7,-1
TEST_0010_class_8,-1
TEST_0010_class_9,-1
TEST_0010_class_10,-1
TEST_0010_class_11,1 163 438 240 961 163 1398 240 1921 163 2358 240 2881 163 3318 240 3841 163 4278 240 4801 159 5242 232 5761 159 6202 232 6721 159 7162 232 7681 159 8122 232 8641 159 9082 232 9601 154 10047 227 10561 154 11007 227 11521 154 11967 223 12481 154 12927 223 13441 150 13891 219 14401 150 14851 219 15361 150 15811 219 16321 141 16775 215 17281 141 17735 215 18241 137 18704 201 19201 137 19664 201 20161 137 20624 201 21121 137 21610 171 22081 137 22570 171 23041 137 23547 145 24001 137 24507 145 24961 137 25467 145 25921 133 26440 128 26881 133 27400 128 27841 133 28372 112 28801 133 29332 112 29761 129 30301 94 30721 129 31261 94 31681 129 32221 94 32641 124 33185 82 33601 124 34145 82 34561 120 35110 64 35521 120 36070 64 36481 120 37030 64 37441 111 37994 43 38401 111 38954 43 39361 94 39931 9 40321 94 40891 9 41281 86 42241 86 43201 86 44165 73 45125 73 46098 30 47058 30 48018 30
TEST_0011_class_0,1 518400
TEST_0011_class_1,-1
TEST_0011_class_2,-1
TEST_0011_class_3,-1
TEST_0011_class_4,-1
TEST_0011_class_5,-1
TEST_0011_class_6,-1
TEST_0011_class_7,-1
TEST_0011_class_8,-1
TEST_0011_class_9,-1
TEST_0011_class_10,-1
TEST_0011_class_11,-1
TEST_0012_class_0,1 518400
TEST_0012_class_1,-1
TEST_0012_class_2,-1
TEST_0012_class_3,-1
TEST_0012_class_4,-1
TEST_0012_class_5,-1
TEST_0012_class_6,-1
TEST_0012_class_7,-1
TEST_0012_class_8,-1
TEST_0012_class_9,-1
TEST_0012_class_10,-1
TEST_0012_class_11,-1
TEST_0013_class_0,1 518400
TEST_0013_class_1,-1
TEST_0013_class_2,-1
TEST_0013_class_3,-1
TEST_0013_class_4,-1
TEST_0013_class_5,-1
TEST_0013_class_6,-1
TEST_0013_class_7,-1
TEST_0013_class_8,-1
TEST_0013_class_9,-1
TEST_0013_class_10,-1
TEST_0013_class_11,-1
TEST_0014_class_0,2444 8 3404 8 4364 8 5320 21 5512 9 5598 9 6280 21 6472 9 6558 9 7235 30 7424 30 7510 21 8195 30 8384 30 8470 21 9155 30 9344 30 9430 21 10111 39 10300 38 10385 30 11071 39 11260 38 11345 30 12027 47 12215 69 12288 52 12987 47 13175 69 13248 52 13942 65 14122 150 14902 65 15082 150 15862 65 16042 150 16818 103 16994 201 17778 103 17954 201 18734 120 18914 223 19158 13 19694 120 19874 223 20118 13 20654 120 20834 223 21078 13 21605 137 21777 287 22565 137 22737 287 23512 480 24472 480 25432 480 26294 60 26380 501 27254 60 27340 501 28167 17 28192 609 29127 17 29152 609 29774 30 29864 8 30070 651 30734 30 30824 8 31030 651 31694 30 31784 8 31990 775 32915 810 33875 819 34818 836 35778 836 36738 844 37685 857 38645 900 39580 925 40540 477861
TEST_0014_class_1,-1
TEST_0014_class_2,-1
TEST_0014_class_3,-1
TEST_0014_class_4,-1
TEST_0014_class_5,-1
TEST_0014_class_6,-1
TEST_0014_class_7,5 403 520 12 802 159 965 403 1480 12 1762 566 2722 566 3682 566 4642 566 5607 561 6567 565 7531 561 8491 561 9451 566 10150 17 10415 562 11110 17 11375 566 12074 13 12340 561 13034 13 13300 557 14272 545 15232 545 16192 545 17195 502 18155 489 19137 21 19171 433 20097 21 20131 433 21057 21 21091 433 22064 420 23024 420 23992 412 24952 412 25912 382 26881 373 27841 326 28184 8 28801 326 29144 8 29761 13 29804 60 29872 198 30721 13 30764 60 30832 198 31681 13 31724 60 31792 198 32765 150 33725 150 34694 124 35654 124 36614 124 37582 103 38542 103 39545 35 40505 35
TEST_0014_class_8,-1
TEST_0014_class_9,-1
TEST_0014_class_10,-1
TEST_0014_class_11,1 4 408 112 532 270 961 4 1368 112 1492 270 2328 116 2452 270 3288 116 3412 270 4248 116 4372 270 5208 112 5341 171 5521 77 6168 112 6301 171 6481 77 7132 103 7265 159 7454 56 8092 103 8225 159 8414 56 9052 103 9185 159 9374 56 10017 94 10167 133 10338 47 10977 94 11127 133 11298 47 11941 86 12087 128 12284 4 12901 86 13047 128 13244 4 13857 85 14007 115 14817 85 14967 115 15777 85 15927 115 16737 81 16921 73 17697 81 17881 73 18644 90 18854 60 19604 90 19814 60 20564 90 20774 60 21524 81 21742 35 22484 81 22702 35 23444 68 24404 68 25364 68 26354 26 27314 26
TEST_0015_class_0,417 544 1377 544 2332 549 3292 549 4252 549 5208 553 6168 553 7124 557 8084 557 9044 557 10004 557 10964 557 11920 561 12880 561 13835 566 14795 566 15755 566 16711 570 17671 570 18627 574 19587 574 20547 574 21498 583 22458 583 23410 591 24370 591 25330 591 26277 604 27237 604 28184 617 29144 617 30087 634 31047 634 32007 634 32941 660 33901 660 34848 673 35808 673 36768 673 37720 681 38680 681 39627 694 40587 694 41538 703 42498 703 43458 703 44401 720 45361 720 46300 741 47260 741 48220 741 49167 754 50127 754 51065 776 52025 776 52964 797 53924 797 54884 797 55831 810 56791 810 57730 831 58690 831 59650 831 60575 866 61535 866 62440 921 63400 921 64360 454041
TEST_0015_class_1,-1
TEST_0015_class_2,-1
TEST_0015_class_3,-1
